"","P_GSM208636.cel","P_GSM208637.cel","P_GSM208638.cel","P_GSM208639.cel","P_GSM208640.cel","P_GSM208641.cel","P_GSM208642.cel","P_GSM208643.cel","P_GSM208644.cel","P_GSM208653.cel","P_GSM208654.cel","P_GSM208655.cel","P_GSM208656.cel","P_GSM208657.cel","P_GSM208658.cel","P_GSM208659.cel","P_GSM208660.cel","P_GSM208661.cel","P_GSM208662.cel","P_GSM208663.cel","P_GSM208664.cel","P_GSM208665.cel","P_GSM208666.cel","P_GSM208667.cel"
"PRPF19",162.257082296096,153.673274055636,228.577286877835,175.657364108591,163.975492809525,196.873403951356,152.309631311481,214.873181695863,183.684518797112,159.363868864129,146.410110002888,181.718753741703,186.164642049496,186.715149711355,187.59369621494,147.141714294627,193.566431758276,204.891262731298,216.372918623883,177.175695531468,190.005718546576,159.905513376515,168.817480075547,151.012335794988
"SYT11",520.983098423691,607.381865602105,576.535099972935,594.735662526255,488.350798741252,654.047243647285,644.82345730064,448.312585603178,498.103500230528,606.430270741641,440.107851068396,562.59413018735,526.389294624888,586.722842013434,630.772674030682,531.043586747899,620.873177575181,745.582117546073,594.735662526255,537.200369582336,456.244796954326,586.367578280373,573.811088751537,613.633098423691
"ZFYVE26",89.0398000616144,109.995163508845,76.4386912204723,104.001802725944,87.1640741949252,98.6094366815773,112.881183484525,76.9766665764016,90.7849923919382,94.2065854777403,119.051618193705,77.2864697405279,75.0122251627301,83.8851792247898,82.0177700343996,88.166123813314,99.818404858918,91.6332189122342,69.9015825238535,101.819394471541,79.0295063151766,84.4028017061388,76.8408618740882,85.4337675593582
"SLC30A5",19.7639867457135,23.0819624679861,20.1613668742585,26.8180249083806,22.5285185973538,19.8951903402381,22.2716284411191,21.6921670379634,25.3920127650502,17.6978397489339,18.1768112114181,22.6491914953088,23.8542360986857,23.6564704523007,22.3629760977425,19.42337069933,24.6775340499159,20.4245088707249,28.8313432784854,20.4495478630651,25.9711945016514,24.3397804052452,27.6845000228215,31.4501418355598
"TMEM177",33.1638583034573,26.4576016469574,39.9949725140999,23.9722682879605,33.0635731754709,44.5497901771313,29.1943168720917,31.310404391243,32.6725994062426,28.9215702047614,26.5554705841705,36.3946587944377,23.5255918188353,28.7126386836156,35.4137648562726,39.6564644337997,28.7833809002985,32.5407480361465,31.7370442031637,29.7187320953899,33.4228880816375,30.0304574970669,29.4453172336777,27.659288335385
"FKBP8",26.8736957496347,23.6425195574247,23.8943995897073,25.1921621882288,27.2284017494527,24.089267083713,28.6875366199312,22.5911967180998,23.7303128130746,26.3408404780594,21.2800681001527,22.280119234665,23.2283639299091,23.9853226395366,24.4831595275109,26.3538081323693,22.4507347332784,24.9114534010014,21.8462423769711,23.4834602306895,24.503532076927,21.0452171175906,20.1704260748662,23.2472329748598
"TUBA1C",4393.07925226984,3622.64470256482,5299.13700659014,5308.49115995042,5669.45781898366,6139.36276845512,5326.87570100286,5472.76720194524,6229.33033050793,4305.49151491203,4144.87155996215,4794.6926621799,6304.83681023248,5147.17098955071,5284.42027791087,4720.57545590569,5253.87265538901,5699.31996118245,6309.06083020335,5517.26544878517,6743.19048304335,4847.54188494699,5721.04279724636,6212.17716384029
"PRKACA",327.578031095223,274.645918936511,265.278828134543,272.079209106697,307.016597386578,285.879093562849,258.243722110669,310.845713529802,341.045289959051,272.806115207378,293.621042522961,269.928891024498,310.167604832909,351.178498387568,283.842996341669,319.989924453422,366.845269167046,358.710962126231,441.872759059818,340.214124637665,442.178785504035,396.759020047745,414.27945182684,275.350016902868
"TRIM58",11.4002813555538,8.89870021398344,8.64895826323664,10.6572435743609,11.4611874412101,11.3641525582015,9.75576102174972,11.1409019175705,10.4822444183022,9.9500432923003,10.9239280836488,9.60628651640327,11.3557828511639,12.004326884083,11.4398054095387,10.9544460308405,11.7652095165507,10.3132704522326,11.3064339349436,10.0178998946208,10.8042923893978,11.5969371084898,11.3048963703708,10.4003563232395
"HDAC3",192.402738050046,214.392603876443,215.668995859594,174.839742800392,219.491432125333,244.17915291629,208.002329192966,204.029571675008,194.21026803898,203.067427877005,214.520277910878,210.117713808331,206.561364348375,198.556052818145,228.389339293944,211.710021500631,213.452309861402,241.769109238405,221.519937981983,208.660021500651,226.427595781808,183.606450372901,193.541645025199,197.152492213197
