"","P_GSM508710.CEL","P_GSM508711.CEL","P_GSM508712.CEL","P_GSM508713.CEL","P_GSM508714.CEL","P_GSM508715.CEL","P_GSM508716.CEL","P_GSM508718.CEL","P_GSM508728.CEL","P_GSM508731.CEL","P_GSM508732.CEL"
"PSMD1",212.33483366601,326.031225427003,446.084915525328,283.700010434969,256.861298992339,233.558574657131,249.345786605276,444.328918714262,261.991940250616,338.411904706803,248.556948923022
"MAP3K7",81.2118635281,69.1443603734837,72.9306291393672,63.2131737628287,85.5870335156342,57.0019594733934,73.2878805340732,68.5412651858979,71.8874642939087,80.0062620149136,75.4845815905681
"PITPNA",598.079635291065,560.117023831737,678.143713844509,605.177791032115,547.336905934358,809.066185530836,513.466209211686,866.721979598176,563.828689124253,673.982721607527,683.623851101878
"MAGED1",1223.88056017005,1164.83734821513,2088.35438700206,1502.71159802021,1342.59730085266,1308.96802761324,994.621958889084,2295.14954091614,840.924160015607,1144.65469536669,521.419286054117
"RIPK2",323.069213158157,285.138504388887,247.156735582864,251.872019659895,267.263931683925,238.113047353936,387.731091970171,209.350932854608,357.047615648489,247.6357114946,326.259302501925
"YWHAZ",628.335040892419,892.960312591194,1116.75165107327,692.968564082787,1197.95955601094,1033.7507615269,631.585617021898,1803.01316940823,1154.41964700377,1035.23355552812,199.464001150872
"CUL2",26.0204418641095,24.631521474124,26.4500414310531,25.7260273026245,25.740466708306,26.4668376735268,26.2196581327736,25.9047568851444,24.5725745617566,26.9605694024356,24.3396336306154
"LDHB",3362.26374829852,3913.11160147182,6374.07014588862,4924.0007470448,3043.7728652618,5120.39773209551,2505.11330826739,6191.98949998644,7009.22583073412,7213.66295612078,699.590408549884
"SH2B1",217.220719201637,177.270201069433,173.584968346759,204.488505741515,178.27471621844,199.249008574457,220.659382263775,171.317365801821,183.242271495966,187.708375836769,196.826088740366
"CFLAR",960.930549884379,1343.27883034948,586.575192123708,1084.17143240827,820.679554861239,613.630369623716,1224.56766013857,596.998453565402,736.834492017644,580.020716381444,893.790916534218
"KAT2A",558.914317414093,686.136598571154,321.226349124191,552.958338108404,346.985234940858,540.448166003374,641.014999726458,465.026791126838,552.563930616241,546.206937752436,694.429016749148
"PCCA",39.4886544073503,50.4963894707739,57.6334138347098,59.6440499549898,54.2297741796741,56.856271113982,40.8473291284282,65.9586985158888,68.350560773661,83.1878480832305,34.6069609129044
"PSMC2",448.951454846578,633.428454504759,728.019918490889,576.351238439465,519.303234933151,507.204772182948,612.168479842562,554.23594503314,590.76396482501,599.428374549791,512.232889462897
"HMGXB4",266.622719400755,337.476028875366,248.630695201224,339.359245971814,356.081075925613,221.155932104399,374.176835054908,259.292810994589,248.630695201224,359.493296200576,294.049264164064
"EEF1D",94.0469064530527,70.5112680598237,67.8330423817313,90.6398828888718,71.0568135297818,77.4047693030242,76.2176877697333,72.1151185830982,68.0551016844913,74.5986753373785,77.0216352657892
"HPRT1",173.593228859042,202.662593189999,195.992251197241,128.819948644513,143.237260385878,258.211976468889,73.6008580008748,353.354953013322,386.736489154251,574.826689320293,112.211701311206
"PPP2R2B",335.68637137177,637.890056232141,786.268174621402,668.306749573611,321.965316599531,691.999792959458,468.695712463903,576.512335118271,1005.08053999278,738.984050963247,817.022091721557
"TUBB2A",4813.08186334977,3800.64603152977,6705.60189221588,2943.93570017202,2470.12105485814,3104.50250930969,1460.46775678168,6160.57698429715,2425.99615645818,3849.82465811288,972.299156992531
"GAS7",1216.88873204482,760.402141270077,1549.32266658226,1683.19763119339,1079.29204664461,993.034524597609,1189.21023710235,896.309734482707,1046.77666565031,929.297548775363,756.845057824611
"PSEN2",94.3120759869616,112.820118330312,164.051073781243,104.904658067486,117.342142204848,137.372202703828,107.435446287776,203.89609075705,96.2330425054043,167.91071668175,120.626635246408
"SNRPC",434.745459936948,344.136196477551,476.122496561988,429.884041483184,434.745459936948,367.418180365713,389.285522359426,435.772106247514,370.773860995511,474.634470617069,353.661168977088
"SMAP1",194.88238454174,144.617452767908,185.768928120762,206.660705310061,141.168213718997,217.172397821977,159.830239897724,216.17134091122,325.962804397359,298.727276131144,127.188217871957
"TCF4",287.661373303703,629.26116757706,399.465486614779,445.863094705597,408.082586846448,378.990441015015,633.965493289373,430.786281502994,501.967715788933,707.615372299799,1306.90488162659
"KCNE4",49.0783016572435,69.9976797961327,52.5418457142506,64.6552257914691,69.6314600640155,69.4790706712295,54.2490601742935,90.9157835295133,197.840895446379,215.076103784586,51.8357489613317
