"","P_GSM1679692","P_GSM1679693","P_GSM1679694","P_GSM1679695","P_GSM1679696","P_GSM1679697","P_GSM1679698","P_GSM1679699","P_GSM1679700","P_GSM1679701","P_GSM1679702","P_GSM1679703","P_GSM1679704","P_GSM1679705","P_GSM1679706","P_GSM1679707","P_GSM1679708","P_GSM1679709","P_GSM1679710","P_GSM1679711","P_GSM1679712","P_GSM1679713","P_GSM1679714","P_GSM1679715","P_GSM1679716","P_GSM1679717","P_GSM1679718","P_GSM1679719","P_GSM1679720"
"CXorf40A",106.903282021902,0,174.736533457799,164.214517000864,116.415481565533,65.9876734083271,100.205509470214,63.1579268843269,84.1099920997693,41.1891771194744,66.5957963737661,61.9701462455016,103.678155998539,34.4031521945064,166.290882924947,33.6294832971812,82.9047000323888,67.1188282895518,127.105112669355,50.4893768052808,24.3134279387988,110.359025866034,70.6701869093238,87.7204645198963,46.3037404991646,39.9404238695376,230.410308633871,46.8989788397311,86.4693304031235
"POLR2B",233.761843354559,739.864651701226,938.059284878712,593.546446991073,690.323381914915,248.424182243114,633.979955340965,335.282821731612,615.270353168175,466.81067402071,721.680977029996,541.935004421445,623.727786487211,195.360757104519,1155.00681126603,676.192824868321,311.946498426955,557.519299501922,740.134195897661,641.215085427066,373.818954559031,162.339726455108,202.057013275954,374.008162362103,236.551717767471,258.66179267891,733.722177623703,307.657301188636,1115.35720564928
"EIF6",74.1196088685187,154.033255132337,178.415197320069,137.504926886265,184.835106696153,84.1019366968874,168.973996361538,47.563377036345,129.045467331153,199.538680267676,127.755201206817,147.027209719719,145.978843645943,103.209456583519,182.844726474036,218.591641431678,123.654467844919,205.686731855078,128.229936675279,136.321317374258,44.8278827621603,166.338241885036,183.145273117121,186.60535179687,117.772557356571,39.9404238695376,227.417966963301,136.00703863522,74.8105442813541
"ILF2",953.577275635365,1070.65737993624,1735.40967702562,1187.09289398215,1210.10829522067,702.574640406306,1261.41053097799,960.624270635688,1107.2561973682,1129.4987681207,1360.45698306408,1309.87877750296,1330.39809777325,1142.67612646039,1310.01098268024,1030.50345246362,1072.14044279174,1067.40588215319,1112.45094185834,1211.74504332674,1003.68869709854,985.234201934446,919.707784566411,1157.91013166263,899.903130570721,881.225225058051,1576.96406039026,1021.45975912934,1136.73164687252
"MOB1A",702.710907157302,1455.74051776709,869.08433746116,764.685672540166,953.789998089543,923.827427716579,715.192263669766,1116.56976911551,1033.51593032182,680.079079994877,1265.32013110156,1616.08420601014,1202.66660958305,1333.12214753712,819.415255679941,1062.9318827859,1096.02823771633,937.498472560514,1293.54760681202,1065.32585059143,1316.72408181057,996.430045138247,1468.14824917257,1114.84735817105,1048.88038261151,1532.31753162972,957.549334582321,1599.25517843483,1894.55274478754
"TST",31.3582960597579,54.2904095958237,14.7146554490778,33.6342986628275,84.7586400871863,85.3958126460703,15.7185112894454,39.766102112354,96.7841004983647,52.1729576846675,99.2141456180597,55.8946417116289,38.9829866554507,67.5776203820662,30.0978973619813,132.115827238926,60.4220695151309,99.595680687722,43.8681362310164,111.076628971618,64.5825429624343,47.1824820731593,127.405407385823,58.2144900904766,22.1452671952526,34.8686240130884,21.5448600281022,51.5888767237042,126.303516319169
"ITCH",1023.42075322301,1522.6566040131,1601.13844605278,1416.59752015203,1552.20642087377,1310.69633652226,1310.53087875751,1276.41390505732,1394.15192384549,1564.27341549293,2695.09110630976,1427.74356546009,1379.33418740456,1113.18771029367,1373.96901457445,1275.51825934309,1319.44937848158,1329.38582483177,1138.32189399458,2569.90927938879,1794.63489973259,2025.64791680191,1578.63262588997,1988.86216829656,1601.5054594385,1702.22282682077,1875.59975911312,1575.80568901496,1927.58597213255
"APOA1",7.1268854681268,6.31283832509578,0,0,5.10594217392689,14.2326354410117,0,8.57700241639007,0,4.57657523549715,20.3864682776835,2.43020181354908,0,14.7442080833599,0.752447434049533,9.60842379919462,12.6464796659576,5.41280873302837,2.249648011847,0,0,0,15.9256759232279,3.98729384181347,0,5.07179985644922,0,0,6.80095857103219
"PSMC3",28.5075418725072,25.2513533003831,269.462127911238,227.526138013245,210.364817565788,12.9387594918288,294.722086677101,51.4620144983404,53.0008169395807,280.086404412426,152.218963140037,78.9815589403452,201.55033526116,30.7171001736665,428.895037408234,69.661072544161,63.2323983297881,62.7885813031291,157.47536082929,186.810694179539,12.1567139693994,0,9.95354745201744,8.77204645198963,18.118854977934,30.4307991386953,256.144447000771,102.239773870614,147.677957542413
"PRDX1",47.0374440896368,64.390950915977,70.8142793486871,38.5805190544197,59.2289292175519,55.636665814864,49.7752857499104,42.1052845895513,48.3920502491823,40.2738620723749,73.3912857996606,42.5285317371089,50.5949401272871,49.1473602778663,52.6713203834673,50.4442249457717,30.9136169612297,50.8804020904667,32.6198961717814,85.8319405689774,47.8670612545101,47.9821851591451,57.7305752217011,62.2017839322901,38.2509160645273,62.1295482415029,53.2636817361416,72.2244274131858,74.8105442813541
