"","P_GSM506039_1_1364_BA9_Pm.CEL","P_GSM506040_1401_BA9_Pf.CEL","P_GSM506041_1516_BA9_Pf.CEL","P_GSM506042_1647_BA9_Pf.CEL","P_GSM506043_2515_BA9_Pf.CEL","P_GSM506044_2525_BA9_Pf.CEL","P_GSM506045_2685_BA9_Pm.CEL","P_GSM506046_2729_BA9_Pm.CEL","P_GSM506048_2977_BA9_Pm.CEL","P_GSM506059_5138_BA9_Pm.CEL","P_GSM506062_5441_BA9_Pf.CEL","P_GSM506063_5476_BA9_Pm.CEL","P_GSM506066_T72_BA9_Pm.CEL","P_GSM506068_T127_BA9_Pm.CEL"
"BACE1",303.163943533973,318.94711629223,301.868598334709,975.385977754764,420.97129019952,317.414098053987,264.760446663318,269.566823604829,373.524144330156,590.007283575937,537.471882265412,778.112805958402,267.028992817053,261.772776966666
"MCAM",177.275706943946,138.900144309852,214.812815289705,478.765007112903,179.247904783308,204.617762251662,174.199761737513,169.993300133007,222.598450270368,246.457995989349,179.293011158692,305.506117497959,156.596174953947,200.964996947312
"UBE2Z",454.623978246893,733.33933273357,542.894648565044,618.293450056457,823.017312687401,537.743987042795,462.596466526157,464.439300963306,611.042230374223,526.9918666156,576.024170058612,603.666555851601,1059.73847167292,606.947963785947
"C1orf50",160.264097257229,198.377588430222,189.360937469165,206.171608496162,208.072800684848,219.179981281522,168.478719876243,202.953411509621,171.041868148438,228.66263217596,200.814857530416,279.223210288407,157.305721725478,185.543039682718
"SLC16A1",43.0862456711004,53.5592949096301,47.4047626986579,43.0312769935288,47.324271475475,38.176851165715,47.9112025314545,42.2246143316704,36.8459300896104,55.9260018931638,69.1289637339853,64.7802863155985,42.0834230832221,54.1146767210243
"STUB1",2159.57748428015,1657.06904081264,1098.00557270169,721.963245328739,2197.61543652684,1372.81571256754,1428.88196703062,1305.70352441312,1770.40224864532,1260.79537744021,1456.05313937306,1520.03436193748,1516.20320465088,783.48983727415
"FFAR2",61.2121218645758,53.7243962104135,69.6383390026682,59.4339298575787,63.0978105181947,58.8344625202734,51.8939813048326,55.4977638916553,56.920031210947,51.6481873025754,53.7320140836392,51.18416947989,68.8145289341929,57.9440018137169
"CALR",343.082657056418,455.292600842418,66.640075493606,69.2217640814918,354.808447380722,261.048110544573,148.214386983744,205.028730677673,169.223830315258,99.7318163870056,71.7750543280171,85.802478304086,62.8226389774442,64.7311263070437
"CLNS1A",419.638519142881,480.106685535245,901.448353268201,1059.16903744518,675.117422426271,596.698007142784,555.361798001521,744.972921768381,525.777423503953,1335.5428062145,1303.55953959825,1220.10329520757,404.835810343011,439.915002855309
"PRPH",290.010098594653,251.699999358351,244.412804715217,263.993279586492,259.558098740202,277.605685143296,310.676623139105,245.523378532374,248.149581913668,229.525483408436,238.138353679089,251.422268413243,339.219038596444,285.92746751728
"NDUFA8",761.40229711346,800.403735617333,1225.5329181921,1348.79435073738,1564.01099454037,862.482109217488,815.928078246764,786.964181401026,1361.93819085189,2701.40550061599,2682.07589358742,3322.0351459265,2334.09494576872,890.359943466357
"KLHL12",128.267062722047,126.969128115596,132.849463765304,154.104232833522,125.087661118309,140.10181475678,134.746598141353,129.280533401183,135.814340364732,111.622153834485,113.644790365938,137.423390311973,135.503278911953,151.997130928634
"NLRX1",273.559075287366,316.668310920873,345.078304142765,275.116542139089,292.972873918945,228.54819880671,278.588474648436,268.313766936445,252.678809221501,224.09612439389,217.621903408872,308.218038722684,401.631209342793,327.362633513625
"CPSF6",86.4032698418677,102.153132004684,106.744777097695,111.780745210719,112.634670750289,108.557407331144,70.7929826225333,85.6737117859276,102.529591602275,371.375242922339,406.257640348406,467.023818735517,76.1692542170434,98.3834178462054
