"","P_GSM508608.CEL","P_GSM508609.CEL","P_GSM508610.CEL","P_GSM508611.CEL","P_GSM508627.CEL","P_GSM508628.CEL","P_GSM508629.CEL","P_GSM508661.CEL","P_GSM508684.CEL","P_GSM508695.CEL","P_GSM508697.CEL","P_GSM508700.CEL","P_GSM508701.CEL","P_GSM508704.CEL","P_GSM508706.CEL"
"ERN1",126.113048022917,106.628100229986,118.78224586143,158.679966391995,106.308904393208,110.414370878056,143.730033741948,104.333804357066,112.660204010822,103.505941387675,106.708194052764,108.522343316652,109.810948977299,115.366070826068,109.730869866758
"TIMM50",54.8448431069818,54.7015800337346,52.4497126743766,67.9907230068045,56.5236044177384,66.1399927466084,57.8794734322125,59.565335293794,55.8178349789341,58.7099195778475,62.6229649308927,56.6949022074048,58.5865277123378,55.484373759298,49.6395524928642
"PRKDC",30.5136515186745,28.7339832066488,30.6949934215396,35.7443473213838,28.6326539936016,30.9566784770041,32.6077776560547,29.8224261335077,28.3201840837092,28.8519516880814,29.1656757391703,30.3485870218047,29.0555519059668,28.4583322340846,30.8372460498566
"PRPF3",60.1177231426022,63.00615622241,62.569880611398,64.4752557482265,81.6052172257785,54.7782221364188,87.8578802726569,56.3343310081892,57.469626933137,160.047722755134,276.89857930356,130.18666545502,157.500646979158,53.4927627516296,105.362717539096
"CBL",69.234933427934,66.4903464059615,71.1135701675335,69.5154749723445,67.1159847248041,60.140378864301,80.2187082619081,68.5446384917283,64.4368853964719,68.1343353387443,60.4394321421625,65.6909392677333,63.5988208958977,63.0779239795426,59.0856625099407
"ANGPT1",30.4146421237701,30.9313773008738,35.9465353647092,31.1223614714391,31.9922916487483,28.4501571890835,26.1253500995778,29.4964581347979,29.3833618272779,36.3378868155342,32.4807891472062,33.1365939116569,39.6625915408076,26.8702743913204,30.3861004330275
"NKX3-1",87.5323166913344,67.318398129522,69.4259669390814,79.3839304440725,73.4426504856865,120.16819733836,92.4754552870669,95.5995771679793,72.5634502718156,62.6186660744982,65.9920380354731,70.7686353152908,58.141081636924,72.1402556805047,79.2445266729845
"CCT6A",77.8152087255869,78.6885810112012,75.9995771919908,46.0181222028232,75.7200108583322,65.9542102119943,58.8365874682778,61.3617784557742,79.6280097061274,644.585794319663,141.045595754586,85.330102222705,326.636135654263,98.3372342727887,114.119212261529
"ZMYND11",30.8224918828839,53.8377598576803,100.704561060919,29.9716333962519,36.7647475807226,31.5077029469491,28.6237830472173,36.2092072649916,46.7161356225673,61.8633744308972,31.0379923468414,36.8286741157166,40.8459756105585,73.829057280009,31.9492478613973
"PCBP2",131.000935833823,160.359034109629,178.020600363099,101.731497182851,190.621554218271,158.612953939624,150.848715959772,225.558882022755,173.495569116179,126.583868676004,202.412781104993,125.2478277749,126.837188483541,167.089916884534,91.3766297086123
"HMGXB4",161.945337233608,183.009238805522,158.310762522987,208.255288393497,208.179314355404,215.518480520221,181.225529022719,181.459918424917,144.91033856439,130.51101442305,186.381215364039,174.991664331442,138.545791825823,162.089844160631,157.018526555169
