"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"12546","4.78743961","0.07028938","0.20887992","0.0","8","10","false","RAB33A","2.375","8","0","0","0.70865849","false","0","RAB33A","10598","0.125"
"12547","5.7826087","0.0","0.17293233","0.0","1","11","false","DNAJC12","8.0","1","0","0","0.63210702","false","0","DNAJC12","0","0.0"
"12549","4.46859903","0.10350661","0.22378378","0.0","5","9","false","DOK5","3.4","5","0","0","0.73318469","false","0","DOK5","11610","0.2"
"12552","5.21256039","0.05132261","0.1918443","0.0","3","10","false","RBBP7","3.0","3","0","0","0.67595689","false","0","RBBP7","5392","0.33333333"
"12554","5.4057971","0.03321239","0.1849866","0.0","3","10","false","RBM23","3.33333333","3","0","0","0.66109253","false","0","RBM23","3746","0.33333333"
"12556","5.60869565","0.0","0.17829457","0.0","1","11","false","DPM1","5.0","1","0","0","0.64548495","false","0","DPM1","0","0.0"
"12558","6.48309179","0.0","0.15424739","0.0","1","11","false","DYNLT3","6.0","1","0","0","0.57822371","false","0","DYNLT3","0","0.0"
"12566","7.14492754","0.0","0.13995943","0.0","1","11","false","EFHD1","5.0","1","0","0","0.52731327","false","0","EFHD1","0","0.0"
"12568","4.94202899","0.02655055","0.20234604","0.0","4","9","false","CLSPN","2.75","4","0","0","0.696767","false","0","CLSPN","3522","0.25"
"12569","4.92753623","0.047378","0.20294118","0.0","5","9","false","EFNA4","3.4","5","0","0","0.69788183","false","0","EFNA4","5724","0.2"
"12571","5.51207729","0.01811556","0.18141981","0.0","2","10","false","RARA","4.5","2","0","0","0.65291713","false","0","RARA","1402","0.5"
"12573","5.92270531","0.0","0.16884176","0.0","1","10","false","WDR4","5.0","1","0","0","0.62133036","false","0","WDR4","0","0.0"
"12575","4.41062802","0.02335156","0.22672508","0.0","2","8","false","SLFN12","11.0","2","0","0","0.737644","false","0","SLFN12","2982","0.5"
"12576","5.34782609","0.01443625","0.18699187","0.0","2","9","false","ELK3","2.0","2","0","0","0.66555184","false","0","ELK3","2136","0.5"
"12578","5.10144928","0.0","0.19602273","0.0","1","9","false","ETV6","8.0","1","0","0","0.6845039","false","0","ETV6","0","0.0"
"12580","4.58454106","0.03979533","0.21812434","0.0","2","9","false","BMPR1B","8.0","2","0","0","0.72426607","false","0","BMPR1B","2088","0.5"
"12581","4.52657005","0.09209125","0.22091782","0.0","6","8","false","FLNC","2.33333333","6","0","0","0.72872538","false","0","FLNC","6222","0.16666667"
"12583","5.38164251","0.0321045","0.18581688","0.0","2","9","false","MCAM","5.0","2","0","0","0.66295058","false","0","MCAM","2012","0.5"
"12585","5.52173913","0.0","0.18110236","0.0","1","9","false","PRRC2A","6.0","1","0","0","0.65217391","false","0","PRRC2A","0","0.0"
"12592","5.87922705","0.02413927","0.17009039","0.0","2","11","false","GABARAPL2","4.0","2","0","0","0.62467484","false","0","GABARAPL2","2270","0.5"
