"Gene.symbol","Cell.type","SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","Stress","TopologicalCoefficient","PDMalacards","DEG"
"EHD4",NA,2704,3.89617486,0,0.25666199,0,1,6,"false","EHD4",171,1,0,0,0.67820279,"false",0,0,0,FALSE,FALSE
"EIF1B",NA,5756,4.05002102,0,0.2469123,0,1,6,"false","EIF1B",55,1,0,0,0.66110878,"false",0,0,0,FALSE,FALSE
"EIF2AK2",NA,2485,3.90205969,0.00076145,0.25627491,0,3,6,"false","EIF2AK2",61.33333333,3,0,0,0.67754892,"false",0,25070,0.34280303,FALSE,FALSE
"EIF2B1",NA,3933,4.35855401,0,0.22943389,0,1,7,"false","EIF2B1",86,1,0,0,0.62682733,"false",0,0,0,FALSE,FALSE
"EIF2S1",NA,6890,4.03446826,0,0.24786414,0,1,6,"false","EIF2S1",44,1,0,0,0.66283686,"false",0,0,0,FALSE,FALSE
"EIF3F",NA,2994,4.0197562,0,0.24877131,0,1,7,"false","EIF3F",57,1,0,0,0.66447153,"false",0,0,0,FALSE,FALSE
"EIF3G",NA,6966,3.9050021,5.578e-05,0.25608181,0,3,6,"false","EIF3G",41,3,0,1,0.67722199,"false",0,2696,0.50632911,FALSE,FALSE
"EIF3K",NA,5081,3.93232451,0,0.25430251,0,1,6,"false","EIF3K",101,1,0,0,0.67418617,"false",0,0,0,FALSE,FALSE
"EIF3S8",NA,2795,4.15384615,0,0.24074074,0,1,7,"false","EIF3S8",34,1,0,0,0.64957265,"false",0,0,0,FALSE,FALSE
"EIF3S9",NA,2990,4.0197562,0,0.24877131,0,1,7,"false","EIF3S9",57,1,0,0,0.66447153,"false",0,0,0,FALSE,FALSE
"EIF4A1",NA,2889,3.86843211,0.00037507,0.25850266,0,4,7,"false","EIF4A1",52,4,0,1,0.68128532,"false",0,28896,0.35915493,FALSE,FALSE
"EIF4A2",NA,2900,3.94535519,0.00019149,0.2534626,0,2,7,"false","EIF4A2",49,2,0,0,0.67273831,"false",0,12116,0.50526316,FALSE,FALSE
"EIF4B",NA,7286,4.0197562,0,0.24877131,0,1,7,"false","EIF4B",57,1,0,0,0.66447153,"false",0,0,0,FALSE,FALSE
"EIF4E",NA,2334,3.02017654,0.0396689,0.33110647,0,70,6,"false","EIF4E",4.03508772,70,0,9,0.77553594,"false",0,1432998,0.02639207,FALSE,TRUE
"EIF4EBP1",NA,3992,4.0197562,0,0.24877131,0,2,7,"false","EIF4EBP1",57,2,0,1,0.66447153,"false",0,0,0,FALSE,FALSE
"EIF4EBP2",NA,3546,4.0197562,0,0.24877131,0,2,7,"false","EIF4EBP2",57,2,0,1,0.66447153,"false",0,0,0,FALSE,FALSE
"EIF4EBP3",NA,3951,4.0197562,0,0.24877131,0,2,7,"false","EIF4EBP3",57,2,0,1,0.66447153,"false",0,0,0,FALSE,FALSE
"EIF4ENIF1",NA,8666,4.0197562,0,0.24877131,0,1,7,"false","EIF4ENIF1",57,1,0,0,0.66447153,"false",0,0,0,FALSE,FALSE
"EIF4G1",NA,2337,4.0197562,0,0.24877131,0,4,7,"false","EIF4G1",57,4,0,1,0.66447153,"false",0,0,0,FALSE,FALSE
"EIF4G2",NA,6498,4.0197562,0,0.24877131,0,1,7,"false","EIF4G2",57,1,0,0,0.66447153,"false",0,0,0,FALSE,FALSE
"EIF4G3",NA,6500,4.0197562,0,0.24877131,0,1,7,"false","EIF4G3",57,1,0,0,0.66447153,"false",0,0,0,FALSE,FALSE
"EIF4H",NA,2928,3.89659521,0.00021685,0.2566343,0,2,7,"false","EIF4H",68,2,0,0,0.67815609,"false",0,16468,0.51145038,FALSE,FALSE
