"","P_GSM208625.cel","P_GSM208626.cel","P_GSM208627.cel","P_GSM208628.cel","P_GSM208629.cel"
"BAG3",256.942085044426,222.721777797528,286.927505372857,255.096777797527,363.823993974487
"TUBB4A",914.996777797528,315.909277797528,635.594282490487,472.433871935305,536.944490696167
"PRKCG",41.3152263231506,44.9439502872721,43.7818205839762,38.2175310035175,44.7169991825161
"TPR",170.570015085271,176.908700048293,201.446777797527,196.17757420452,172.914768837795
"TUBG1",47.8524432159886,43.406478472867,34.4252810094006,27.0352326367945,53.6515920363164
"OTUD4",156.528482198023,139.520426003009,175.613329358709,143.911001957702,134.196160423781
"PHLDA1",26.1551432305226,30.6344005827337,30.0694459615366,31.5828330878207,35.5212570025537
"SURF1",330.721134233541,568.434942270612,403.344703755895,484.422474460438,327.378322308605
"MAPRE2",218.808480250922,223.43478888559,186.270363028569,144.949799747745,331.322616583018
"YWHAZ",521.4727860603,780.242782421318,661.440641939005,454.442906609394,1038.41906946964
"USP11",649.956294215278,940.600949344125,551.864408829283,489.790672822576,970.169994852322
"BARD1",51.0008944660466,48.3137528444378,50.8994515851618,52.6557483242227,53.0373384856775
"ARHGEF11",53.0971688395822,69.3902436114748,45.1682862560261,46.489967970946,67.7978919883697
"ASS1",166.261109022989,170.28843201885,149.00498769916,137.591624182026,204.953628459184
"ATP6V0A1",177.067850606134,296.9983606561,219.570609394262,142.258136830686,303.055125626984
"TUBB4B",1026.38741209766,999.961267472071,762.570595961668,658.12788438643,1696.80812400994
"PCBP2",41.5920467604739,34.7720725007963,36.7787010321359,45.6223127925932,38.606340630244
"NCOR1",144.511512904824,164.005870738571,156.615127843506,161.096737307732,148.806017284742
"PRPF6",49.8256025162776,54.0150787316593,55.9013385677265,52.5914008305337,59.1627211657839
"TGM2",151.16428176529,154.041879047754,189.696777797527,147.794239219384,134.054564291338
"HDAC11",157.332401944824,150.62633605758,173.88270578215,159.20378414726,161.222752718325
"TUBB3",875.333859176403,1027.51991519903,829.894407342193,579.849027105461,1867.4673076001
"PBXIP1",259.307229082055,259.884763297266,243.659277797527,281.22472677267,221.607135892578
"RAB2A",310.470348006635,459.491801886258,346.765179704916,315.25190969967,445.988082729735
"SIRT3",95.4868714264526,111.196796137505,103.668741069121,88.521823559218,101.264632532976
"RUNDC3A",855.993335533452,800.800716306052,436.221503354241,516.766755100295,754.944631002954
"STK3",26.5128936962325,24.1730573514794,32.0084113894062,28.8109259523558,30.8659114947326
"TRRAP",20.5946740213922,22.9101028710302,20.7702268265445,17.6414944435366,21.6594019987471
"CDK2",78.4063507679596,52.1603996912756,69.6885288938755,64.3693366575636,70.1183529951802
"TAB2",72.2846622859744,83.001913935006,86.6134726510569,98.5463333915436,109.42200436146
"NMI",30.4352937752737,26.4979403393418,40.3293684498849,33.0734723870332,31.301387583481
"UBE4B",46.7327154961947,54.6198741651027,43.293912424508,52.6111607379306,63.3782673762708
"PKP4",134.727087256707,149.82177779799,77.9553447351021,94.3541064554729,168.752664041317
"PRDX2",230.933898732073,166.417756118315,167.924760179653,224.421777797528,145.221777799513
"IMP4",185.92716120867,232.591289216689,214.928619831369,199.606806990953,234.493003616084
"NEDD9",47.5537079968488,52.4863558691194,55.9953773477409,48.5735924605213,43.8204553868894
"MAX",147.862419724035,134.423404606825,138.934673896913,170.324756671525,162.788375794254
"MT2A",3385.58736726346,5391.49686976325,5212.97188152101,5470.68428562224,2796.0934176516
