"","GSM503958_PD_1364_SNc.CEL","GSM503959_PD_1401_SNc.CEL","GSM503960_PD_1647_SNc.CEL","GSM503961_PD_2515p_SNc.CEL","GSM503962_PD_2525_SNc.CEL","GSM503963_PD_3769p_SNc.CEL","GSM503964_PD_3790p_SNc.CEL","GSM503965_PD_3803p_SNc.CEL","GSM503966_PD_5138_SNc.CEL","GSM503967_PD_5476_SNc.CEL"
"MAP2K4",7.21632157910849,5.91110123217296,10.9450025851941,9.04317343557029,3.62929621775131,3.49210742919897,2.6046429479488,31.2859305880293,13.5873981709044,22.128767280494
"PRKCZ",14.8370356808988,6.16955210720528,16.8845873876348,31.7875551406892,11.1448311124272,10.3227693334258,11.3302386743346,34.1596890146046,7.86150145048904,11.417505204553
"GRIN2B",7.08901316267126,5.53721817997581,5.24029698087968,4.95325888341469,7.08167855397688,7.8319408369937,7.47173529846497,4.76632752419379,4.08820174301375,5.15142957177277
"FTH1",26.1482152389696,44.5876778102814,55.6746735790993,279.290900946381,25.8034467162059,37.2971594698778,21.7834902894945,126.317083997245,112.863704104089,85.0674680450034
"UQCRB",11.0756013600747,57.793670057771,137.431469225168,143.993139599539,58.714949706386,43.1839028081165,133.623576987489,199.190558120638,134.548804330194,172.679604618146
"DRG1",11.9729683898257,5.76929564901501,30.3017307463634,27.736792607668,31.1596929420305,28.836784638371,17.6946686489354,35.2268311674203,31.0687212968308,41.2358170488708
"THAP1",6.46964463403191,37.6877320728742,9.37942415366542,5.01125212993022,5.80944140990088,3.95658945443648,4.48671866993979,5.16356778600714,27.4850735190415,46.1798618176203
"RAD51",9.64855790501205,5.81131624842992,6.45809134993396,4.15823908284416,13.0352953364557,3.96624121177584,4.89808275061597,4.99379243257266,9.24839032949312,6.99292033811623
"TRAPPC2",6.25290807335124,4.29023556462091,11.3827520291506,11.3122536108934,8.31568931751076,4.33549252112148,6.51485372381207,13.7099485145117,13.7678993988343,22.2902597152074
"PCBP2",7.62317676435924,5.95445261564068,13.0283182755571,8.84470956356168,9.42709032570755,7.33729668166769,15.3360985313529,6.01466635721036,14.0394109811004,9.3967927289558
"KLHL36",4.84270443711839,2.29294141532927,8.27944754690473,11.2379706001715,10.6499237954762,18.5507696503807,13.4947420853,11.1176810168133,5.22057866726271,6.09268979841259
"CAMK2G",6.68291145555345,7.32176021052382,4.30513689302496,3.91029115259254,4.29251120308613,4.05771751372978,4.05624364267949,3.53952399605288,3.64803139659658,3.37007897654792
"IL18R1",3.25282374596666,3.04888225597154,2.70136604307453,6.97332480676322,3.69598121184511,3.76865656682263,14.1764864318537,2.79465722827501,3.41994000311751,2.48468787536853
"PAWR",3.55037285341424,3.51820211950489,10.0065089773176,20.3265715514467,6.38981213249249,28.3256817087716,13.6938674541928,14.291506172223,4.2324904700152,4.73043896722145
"EP400",10.3233368517934,4.1585963204579,10.0869302635536,11.1544608711667,5.81399602031212,10.9422457653988,8.35812586031966,8.77224240001856,4.56454682647816,4.89994372973702
"PTDSS1",78.3591359579451,10.3269582027009,115.141656891159,23.9291245919339,62.3317056629503,12.5852350996224,14.1580035378219,37.278906059326,142.215680375349,178.659257967139
