"","P_DMNV_GSM488119.CEL","P_DMNV_GSM488121.CEL","P_DMNV_GSM488123.CEL","P_DMNV_GSM488125.CEL","P_DMNV_GSM488127.CEL","P_DMNV_GSM488129.CEL"
"GSPT1",13.6903943135378,11.2455014771202,11.5257507589856,11.3816324692438,12.9297723998723,12.2569536713696
"ICK",11.7932706049116,13.257597399144,12.224734769639,13.4666234393237,12.7235706058364,12.7418308865833
"CHUK",21.3361019785986,16.199683187923,32.1378878729278,26.3707965652945,19.9062010714369,23.425470097706
"SMARCA5",26.5455407124657,26.5985932483411,50.8469794551464,37.1703175288419,21.8665320811446,18.4882745526241
"ICAM1",70.1493574905132,52.6122354796303,50.44939616026,49.7954599678672,41.4254231383926,56.2946150616226
"DLX5",19.4193914107735,48.5719342719788,16.2208804849459,18.4090646648091,24.6961922906137,17.8878019281928
"HNRNPU",33.4274716601249,72.332856397866,27.915041734823,34.5921680666859,72.543498269771,42.4839899785977
"MEPCE",231.949164268749,99.3047466524511,110.891289264184,82.2723695463805,81.4878601431942,55.0868608393778
"SH2D2A",24.9467445519618,28.5393583064054,28.2148111605199,32.8176393846408,37.8139010220483,26.535742516586
"DTNB",16.8006579547244,25.412460708908,20.4474319886567,20.3838553918017,22.3496222464021,25.9845460324134
"NDUFS7",234.363169788374,101.074265403207,180.293737297702,119.478515846412,117.42822737314,100.175136709516
"POLR1C",41.5401070694725,44.4876442355959,32.8440842852946,31.0385543772737,39.588891453355,38.3017838441051
"PLCG1",82.5676107022663,112.204332615839,73.2145065467605,63.2109019407926,122.853433097208,84.1282045641225
"NTRK1",15.779910329193,23.8728638130121,16.8917770869014,16.5220260953628,21.0383570485089,14.6889788553876
"SGTA",226.515879752988,338.65281431005,197.883996034056,181.996968563958,152.693725177302,190.044494647064
"NDUFS2",218.79116577797,127.035260329945,219.267986546133,126.535779219641,117.876513215066,86.9155754697228
"FNTA",48.4173941113654,50.8529565359531,148.93777793538,52.4763476299277,33.906985487893,48.2248297846084
"PRKACA",17.4552003179834,27.9941077763378,16.185308620877,14.4454038794692,17.8464520861966,25.0423403466463
"TGM2",35.4772230029022,36.5238332522562,25.0170879436474,32.7051358405108,51.9699601451897,33.5247240417054
"HSPA1L",29.2465863205854,23.2658307219857,33.5840709570024,31.0192612747549,46.1280819459261,37.5872972779945
"CDH2",32.1178954740017,51.1154567795079,28.1078288215113,34.010967832286,56.1379446238935,39.0929532000102
"RASA1",19.9718432499136,17.4910916259622,30.4004125810183,17.2416255342707,13.005051066716,16.276492160021
"ENO2",547.197811628666,149.436579557443,395.442704673126,193.936724398665,30.8885486439228,114.122688170159
"PHLDA3",139.225361723622,82.4970119625469,76.313495254281,62.5212633446732,69.224056515401,94.9893826064742
"PRPF31",26.0590569519022,44.2166564357718,27.9234653496437,28.5758632805082,48.9643712570636,41.4189629088493
"HECTD3",105.875577500847,57.3183557224833,145.617433107896,62.7048797478489,72.8534277207232,50.0212225271198
"SLC5A7",24.2367319276377,18.6432771186318,15.7614775328259,16.6677053743411,21.0964887499484,24.2953642313757
"SLC25A10",50.4028332129695,98.9153115968545,59.6391516267162,76.0420181762154,116.300549360905,124.807224524249
"ANXA6",64.4553603647786,48.0503134125314,78.5297097052704,28.5828763417853,72.0645014837454,46.5205890100842
"PAPSS1",134.421946545485,130.508370806976,468.366441466236,273.968392466468,44.1291216296894,250.477743534436
"IKBKG",119.090256954935,92.3570751790033,85.4044514624848,75.7485254777478,118.499221494614,66.3214584745425
