"SrNo","V1","V2"
30497,"P04637","Q6NZ67"
30516,"P27815","Q13023"
30530,"A0MNP2","O43172"
30557,"P25786","P53350"
30694,"O43172","Q9UMS4"
30703,"A0A024R1K8","Q14204"
30708,"A0A024R1K8","Q99460"
30725,"A0A024R2P0","Q13151"
30965,"P12931","Q7Z434"
31106,"Q14204","Q9HCC0"
31143,"O95229","Q9C035"
31173,"P61163","Q99460"
31194,"Q02952","Q60FE5"
31219,"P28749","P29375"
31243,"Q02952","Q13642"
31296,"P78543","Q9UKT8"
31318,"P07900","Q9UKT8"
31391,"P05412","Q9UNS2"
31402,"O43541","Q13873"
31544,"P62837","Q9UKT8"
31547,"A0A024R1Z1","Q9UKT8"
31620,"Q9NP62","Q9UKT8"
31651,"P25786","Q14318"
31667,"P50570","P57060"
31675,"Q8N3Y1","Q9UKT8"
31701,"Q86VS8","Q8WVM8"
31703,"O00468","P23258"
31737,"Q7Z434","Q9UKV5"
31741,"O43541","Q9NP55"
31831,"O95831","Q9UKV5"
31869,"Q3LXA3","Q9BWD1"
31938,"O15247","P46934"
31948,"P46934","P51787"
32037,"P62241","Q99460"
32043,"P25786","Q9BRP4"
32062,"P23258","P62241"
32333,"A0A024R089","O00268"
32342,"P46821","Q9H492"
32455,"Q12857","Q5SSJ5"
32513,"O43657","Q7Z434"
32514,"Q59FK4","Q7Z434"
32515,"Q7Z434","Q9UL19"
32516,"Q13601","Q7Z434"
32517,"O00463","Q7Z434"
32518,"E2GIM6","Q7Z434"
32519,"Q29RF7","Q7Z434"
32520,"A0A024R763","Q7Z434"
32521,"Q14139","Q7Z434"
32522,"O43353","Q7Z434"
32604,"A0A024R718","P08133"
32684,"Q6NYC1","Q9H0G5"
32922,"Q00005","Q9Y4B5"
32924,"Q7KZI7","Q9Y4B5"
32962,"Q15022","Q5SSJ5"
32969,"Q14204","Q15022"
32990,"P55854","Q14204"
32999,"P55854","Q5SSJ5"
33064,"O75937","P55854"
33082,"P55854","Q14527"
33224,"O00159","Q15022"
33237,"P28749","P55854"
33424,"P25786","Q6NZY4"
33434,"Q14204","Q9UPT8"
33499,"P63220","Q99460"
33582,"Q15008","Q99460"
33625,"Q00005","Q6NZY4"
33695,"O43172","P49407"
33714,"P17948","Q96SB4"
33831,"A0A024R7W9","Q14011"
33849,"A0A024R7W9","Q14204"
33853,"A0A024R7W9","Q06265"
33871,"A0A024R7W9","Q13151"
33892,"A0A024R7W9","Q8N4N3"
33912,"A0A024R7W9","P82650"
33932,"A0A024R7W9","O00264"
33966,"A0A024R7W9","P31040"
34000,"A0A024R7W9","Q7Z2W4"
34028,"A0A024R7W9","Q9H496"
34267,"P08133","P17174"
34290,"A0A024R8J2","O95379"
34298,"Q96C92","Q9BV73"
34301,"P05067","Q96C92"
34303,"A0A024R4Q5","Q96C92"
34319,"O75832","Q99460"
34333,"O15162","P28749"
34361,"Q00005","Q5VY09"
34362,"P28749","Q08999"
34434,"P36543","Q9UHA4"
34514,"A0A024R6Z0","Q14204"
34560,"P23258","P83731"
