"","GSM571695","GSM571696","GSM571697","GSM571698","GSM571699","GSM571705","GSM571706","GSM571707"
"LOC105376352",61.9319514337316,40.4507346660217,32.200384269284,65.8501124950703,20.3798566691384,45.7185264561488,39.5875258720302,29.7938570742154
"PRSS42",55.7444395591241,48.5025603133806,45.1265318200746,46.4879209034191,42.8791677675437,49.6449821468975,50.9635545676911,38.4472898216203
"B4GALT6",82.7311080645318,140.438238921651,87.0983811876368,141.188326423045,187.000847721625,85.617927000192,88.2396400047219,196.245668334276
"LSM5",22.3424269156264,18.755411351204,24.0635235099333,24.9051293697512,24.6150540099237,18.7279489259506,26.9275114151658,26.2417313020671
"LMNA",148.500296363057,135.602597154086,132.055172349277,120.116538914889,111.877413861217,138.055734022076,129.578270772931,108.735257417432
"LOC105377851",14.3507874810523,7.79718302700941,20.8877038068565,20.3946946202475,6.44604830671011,11.3323408875314,22.8281335001964,5.72428300589092
"POC5",29.6491738356069,36.4286594312062,52.4325933813733,36.9175779463589,52.0788252259591,42.1197217326224,30.8070791417125,59.4854117913113
"OTP",26.7092211130802,21.9725590658935,21.025773930325,21.8508121858358,22.5552129204268,23.8099716877614,24.9590133619022,21.7131329529293
"LOC105373342",11.7049348558574,14.6590631528372,11.1269477965811,10.4602614028621,12.5607177449481,17.0356135149594,10.6916825298465,8.32993939956051
"LOC105376139",5.06530099242804,5.72604099817279,5.07291152811725,4.89026958989374,6.85440292097801,4.38816872985709,5.61306591047,5.99444006853915
"BRSK2",246.120838073652,242.028142427178,215.808218953166,234.654448414313,254.260404309933,234.815852767702,236.358182484666,266.269431080861
"LOC100505782",62.7591540155088,50.2405028877048,68.9902221067572,62.4988179932649,53.4507393925377,59.978145074432,59.436818950043,64.1204213192847
"DNAJC21",52.6611090521243,79.9480532983508,127.606853046859,57.797412425786,102.980259466083,87.5907732351821,79.2618645258526,85.4159743301871
"LINC01389",14.1235514180852,12.2105814849325,9.30892129531086,16.0399528963165,16.6431545123369,13.218018362899,17.967502728118,11.5309941830882
"ASGR2",71.1655440023604,62.7793853945134,54.6256259006078,70.8089589202622,57.9305718001448,61.6997611773159,61.1925451254238,60.5584342695349
"LOC105369434",36.5011749733067,34.8284412183419,24.6086737030883,28.8604121957257,23.9868033225999,27.9774971396158,36.0257110384497,22.018037805335
"LINC01222",8.05652109646671,7.38288148710881,18.647780204812,7.21377287142502,8.59627716778754,10.5882554396735,8.10775784292428,7.82725800330324
"LOC105374244",7.58312234847863,9.00764518398801,11.6068211570443,8.83446640663167,9.04389974897591,9.5177858879163,9.38629628004337,7.65697209725958
"WBSCR22",198.504650979965,225.994993102762,228.762536975697,201.008681213379,221.568195858985,213.65673723586,195.320694141313,217.234434939244
"FXYD6-FXYD2",83.9741277519125,73.6986864027634,64.4421623846239,72.5841681032841,54.9149859447671,69.4321047240951,74.8016402107558,70.7933528726597
"RPL7AP15",52.4528042640326,81.2595235213339,88.8652826095905,68.3300842252287,87.8549092609359,76.578632901607,73.3943448342056,82.2978023012168
"LOC105369974",24.0422331313436,27.2802129309835,21.018896148279,30.3205496129024,14.9929461595839,21.5229212603071,25.1748975143906,25.2317436031382
"LOC280665",24.1932553386023,34.5237434260322,43.6896305213638,35.0755786644572,37.4841556513795,44.7048050121011,16.9116321902319,44.628487250684
"FAM172A",82.3943210875414,106.459951212077,176.110363601108,93.5131922149224,168.59453946605,128.41269273238,107.624147519968,144.369682582033
"OR2C3",16.9292951163707,15.3870418935788,14.7293003697272,14.2852264400555,13.0410217275255,16.5295895949881,16.3951364087735,13.2292374487953
"MCRS1",121.088412216884,107.396115351329,110.055237948703,104.913752927195,109.099751094116,124.868087094477,110.252915781083,106.762930428604
"IRX2",206.14576314411,163.534022184725,135.560213135642,167.101977933285,124.697868957092,153.198674005367,200.083862077691,142.172733994345
"LOC105374697",14.0536892638998,11.8680581860513,10.4476965870963,15.692333538113,11.5624722656759,12.2613081312485,13.8569515248328,13.0311002999912
"LIPH",10.8826198238823,10.6655687833691,9.07419083096028,10.4293403068534,9.51881511088745,9.77538145246664,11.5046644436375,10.0090767557682
"LOC105378014",15.4919194487673,25.7582379334406,13.0350842283204,34.3371644038811,13.9077872686939,10.1003193258719,37.8640545358224,13.9884576849834
"TNFRSF13B",230.883457601967,198.385668760383,186.597261094102,184.86214269085,145.165720031546,207.849000478182,210.024525873563,167.356294086939
"LOC101929347",40.7625104298038,55.4725445913697,17.6373633487403,30.4578668599991,32.1241416229534,26.635011524218,28.815117549307,38.9260486429386
