,C_GSM208622.cel,C_GSM208623.cel,C_GSM208624.cel,P_GSM208625.cel,P_GSM208626.cel,P_GSM208627.cel,P_GSM208628.cel,P_GSM208629.cel
EAPP,130.172372731425,83.1404130585673,105.914482509443,58.8200863455334,165.974805076466,75.0217080545612,65.3089701332667,133.200140423393
MUC5AC,154.140949139567,237.721777797528,170.140464583272,224.555761240083,147.883879261643,219.370108288517,247.608037595807,172.390318013965
KLK14,63.5072495087839,69.9978702847701,66.3569425302776,84.7383629774199,65.5041996576423,74.2275198911658,70.7893836608192,57.1416344846944
IL21R,29.201410946389,34.412210962396,31.4834283822961,27.7163381938898,33.6144807969945,39.7606959722575,33.6654336581955,32.0317620969867
LOC101929842 ,39.771603185304,47.8467514798999,38.9403211167492,44.7990285550586,42.1829971309825,45.7597487047179,51.321812729064,37.2116317359943
MAP4K3,16.6420988765667,12.6771287138241,18.3373574997396,15.2342470723338,15.1455387463285,10.9582872054902,12.9758872312643,19.9227916686724
LCE2B,19.4353537470472,19.4661389248295,18.9816787896241,21.9110465780162,20.227883726617,18.8181551240679,20.2443922441141,18.5493054080551
KDM4A,106.206146661357,134.030764715456,110.774524928555,111.155734473231,127.636359344733,128.813313917939,132.788841354467,109.18029086551
FBXO5,8.81748460271696,9.04575183807081,8.53271633335691,8.20771006418843,9.11981109531029,9.3088426245812,8.91715248883836,9.97976225565276
ALG8,187.085872932113,157.967803684188,149.562261019575,116.081193460939,151.059277797838,203.164582123466,142.455587754377,168.575518202636
RP11-348B17.1,28.1004034448199,30.1325270453648,28.4635877965177,28.2883925680373,30.6258205688707,30.4730650779726,32.6385016864709,27.4720887563132
LIPE,115.97250711291,101.979612166123,104.359804447938,118.827993480821,100.39860234753,104.28796211772,100.505775943478,94.2648324924093
AMBP,23.0941965403824,26.0037567835626,25.2770951109759,22.9914174770029,25.7027737626047,22.2497231071306,26.2952020665731,22.5425544716501
SH2D4A,74.6216206188028,87.6423189705438,74.4923873610438,93.4662872145097,74.7453128248249,87.3467007954956,90.9392408295684,69.0319549827702
CIC,203.454659780045,220.421777797528,197.938070033164,341.050181938416,246.25371242992,214.7018745629,215.621387045207,149.973940538359
ITPK1,713.198542865638,758.097389928883,738.445684004055,997.550544010477,851.193920155788,693.296279598009,822.218285803965,601.795336001632
STX18,143.679434540835,152.534573006773,154.608259007449,133.838837301986,201.621168621563,154.213877857448,151.651578413142,154.621820016584
APPL2,47.877266255523,32.494090060589,46.1183264016767,31.2149459017005,40.4874124827112,43.2578417080581,40.8181469779903,41.1342625618836
ZNF510,59.8124724888586,62.1856906886312,64.8006279426538,42.8494310909785,57.0766793358105,68.4934307172194,60.637625173298,68.4440549480783
NFKBIB,68.9437710515127,75.4743572849881,68.8704270744404,89.4465663750714,71.6601764596871,68.1949268498488,78.0060032231371,65.8464810164499
XPNPEP3,43.2185530704929,39.1148427318354,39.0964860116684,36.6715770161971,38.1265955767596,44.2243520103396,41.8282807561336,34.3077455221184
ZNF280A,27.2377865011476,34.5500147283492,32.0822695644888,32.0355371020002,27.5012238989369,34.7315280841672,37.0915080527494,32.4948982627152
FUZ,92.3518061302002,100.838367681599,101.453866549667,166.048987356885,113.009740119992,107.24499513266,99.6832613609253,70.4128601188205
ZNF26,80.0869944237954,89.9947781243158,91.5334338498264,77.49209684672,79.3477586290861,108.415690570423,98.1028888922,97.9316713101349
SERHL2,60.5798473498728,57.4376615151365,60.2963275675773,51.4567962321114,61.1611219099614,57.3661683513664,52.4502306355672,64.8363493439486
ARHGEF17,317.315884656016,316.0693690316,316.803624492315,368.28882437363,337.460852695038,241.974503690728,267.109277797528,304.495841172924
GH2,102.099977030549,114.533331667361,94.8695036062249,99.7874017840665,112.408587657613,112.78266138506,140.624925966899,88.5736456846165
GSC2,9.79822476360851,10.2874959987501,9.60877656045832,10.3422717004634,10.4224039488966,10.9629909353502,9.47167121774253,9.86890661685996
CBR1,258.721777797527,108.959308224877,219.958375719992,132.601555747644,154.973394609763,175.968003740001,149.467310572267,226.257466802744
CASP5,46.2122108321957,55.8504275477608,44.6443681478279,50.4185277684087,41.3747468318576,50.8084858581521,45.7421404049431,45.7308126757826
KPTN,76.0536975568207,88.5771926914567,83.9502011195956,117.617414288061,81.3633012963613,95.3433888075844,87.1688165437075,66.8815450475079
IQCE,104.164301717323,80.7526447397391,78.295074150648,95.0547992268487,106.854986897,52.594597362107,84.0592261946534,72.7758191323469
OAZ1,513.692715914678,345.684277797528,413.170782681639,247.538274697386,576.666201028057,373.258222238607,275.535408501071,504.990887506014
CXCL9,63.7923396106463,68.0314483367919,63.5172482442657,68.958994385646,46.0885466136788,111.460816300423,76.7538326967143,67.3420173630971
EPPIN ,10.5605222768651,10.5619096700311,10.5138386583931,10.1582334625472,9.86566335107334,10.4009418341817,10.1860786660459,10.7335378568123
ATP10A,108.709525086511,121.721779235866,108.694028063881,151.710061154482,112.593673322719,114.642824330767,123.464094072424,98.2146182554504
PTGS2,13.6115647435063,14.7801500999864,17.2287754773597,16.381082851935,15.8801984597517,13.4346987120028,15.3403058233976,18.7733824826175
ZFP69B,14.5609085454506,17.5108256905218,15.2669335701431,14.3096963818065,13.7029512838635,14.4633198792014,18.3293111768766,14.8626325659258
HIST1H1A,39.3502132973647,40.5606132743304,35.3899854001525,43.547209171023,40.2487143020856,43.9322252282527,37.4368677822416,35.0839176296105
SUN1,150.742415024645,93.8652818671557,124.566883726176,131.07774107127,113.880009177008,124.94839117198,92.1477765468722,108.53080538411
RIC8B,130.449881805211,90.1452414429018,97.5663573732728,103.205924238846,126.367156739384,159.219302288249,106.054739300997,84.6241958758956
TMEM120B,28.0042854878871,27.8937551668539,27.822067529162,30.0921037615646,25.8135391820272,33.8213694762456,27.7941995816316,27.9763526256636
IPO8,67.367890080373,57.5754858330264,55.4295982747457,57.6496748384865,59.1364597600786,57.4099520160712,62.669572960555,52.341824726346
CKAP2,48.5019936093163,48.960739021026,43.2304812617116,42.2567047747533,48.6105816218397,45.0240039535999,56.7256733241928,53.2915318981521
CHRDL1,78.4291779972402,62.8396491912527,122.358042281463,64.5985869158746,54.3901817775893,103.41256423148,81.3486842060149,89.0360584573749
SEMA3E,14.4196372214732,9.4485408287829,10.2313344331918,9.90621883632456,11.2806885981423,8.38642521212331,9.08350880160099,14.087040714959
DSC1,12.5624035203895,17.6619492493877,15.7293596330299,15.88852759754,16.4622034282678,17.6619492493877,15.8648022609122,13.922392325005
ALG3,94.1204346460703,95.3663781681218,89.4403124401129,94.5959966913309,93.1922320952736,93.4352931415021,88.359333244031,81.56147576996
SIX3,21.0781015925289,30.2781480126033,26.6702463602271,30.097222664862,19.9870503310978,49.8139817739898,34.2554399658403,19.4861882855101
PTPRG,23.5300804292934,25.255712252126,37.9347269430352,27.5592304740256,28.5722786648004,29.5736304142797,33.3948923873054,31.0824972856548
ALOX15,25.4065080997413,33.9359079088798,25.9534679217638,39.2798249716811,27.7359650913912,33.0867165535955,37.6345222594018,19.9797282964773
SCNN1G,19.6116251614937,21.1643716220879,20.6273915539947,21.9237069731726,19.104522232203,20.0667545708536,19.5481584605246,18.6366586430805
TTR,97.5291232282933,124.925880034158,103.961460861726,81.8605154506391,121.103009462716,114.534285929821,163.854010188134,116.194357814353
LAMB1,11.9457332156313,14.0851314461937,12.7549388091218,12.5296294940153,12.7587450489235,13.0634626362005,12.2640232882667,11.9113737637769
POU5F1 ,64.7407897314928,69.1812876756309,63.2823157276728,62.8913538878787,78.3791923866025,66.7952257210082,73.6067729640979,61.3203293849318
GPATCH4,37.0298340396981,43.1653082048877,41.0464995955694,47.44767533116,41.2752978760178,43.6040149650121,46.3847819150212,34.0005343517854
PHF1,435.431246146272,406.186793901097,445.348641641028,438.210452049789,434.982117536936,403.558686879525,511.138460948889,439.947239087489
OAS1,74.0548500687166,82.0926658744484,63.6557969823851,92.2706159402715,60.6510488387278,92.0365695044016,95.340086421939,60.3294627186634
HSD17B3,39.6545844528214,35.9957348064056,38.9326181218142,36.0118975149677,39.0543888825426,56.1082282902018,40.2336001487014,34.2256346143093
GZMB,28.2628714726082,31.0869340904314,30.3960473209644,33.3089743641059,27.6939418751046,31.9277032756912,32.510800413361,29.5479815161436
IQCB1,52.3218171015178,65.949618061498,49.2502498717685,46.6768516390092,46.787111927984,46.8258666090789,59.5264906698163,64.3333037784711
