V1,V2,Gene1,Gene2
O95379,Q9NY33,TNFAIP8,DPP3
O75436,Q6NYC1,VPS26A,JMJD6
P35998,P49720,PSMC2,PSMB3
Q6NYC1,Q9UH65,JMJD6,SWAP70
O43353,Q15750,RIPK2,TAB1
P23258,Q71U36,TUBG1,TUBA1A
B2R4P9,Q96IZ0,H3F3B,PAWR
P13612,Q5SSJ5,ITGA4,HP1BP3
O75489,P13612,NDUFS3,ITGA4
Q6P1L8,Q9P015,MRPL14,MRPL15
Q5TAQ9,Q9UNS2,DCAF8,COPS3
P62191,Q6NYC1,PSMC1,JMJD6
O75489,Q16795,NDUFS3,NDUFA9
O43353,P55345,RIPK2,PRMT2
P23258,P50991,TUBG1,CCT4
Q59EK9,Q9P015,RUNDC3A,MRPL15
A0A024R001,O75489,TMEM14C,NDUFS3
Q93034,Q9H773,CUL5,DCTPP1
A0A024R475,O75489,CUL3,NDUFS3
O75251,O75489,NDUFS7,NDUFS3
A0A024R745,O75489,NDUFA5,NDUFS3
A4D1U3,O75489,SSBP1,NDUFS3
O75489,P31040,NDUFS3,SDHA
O75489,P19320,NDUFS3,VCAM1
P23258,Q9NRD1,TUBG1,FBXO6
Q9NRD1,Q9UNS2,FBXO6,COPS3
Q92752,Q96HA8,TNR,WDYHV1
P62263,Q5SSJ5,RPS14,HP1BP3
O14737,P23258,PDCD5,TUBG1
Q2TLE4,Q9UNS2,MLF1,COPS3
O15355,Q6NYC1,PPM1G,JMJD6
O43353,P29466,RIPK2,CASP1
O60260,O75489,PRKN,NDUFS3
Q9H773,Q9NQW7,DCTPP1,XPNPEP1
P12004,Q9H773,PCNA,DCTPP1
P57081,Q9H773,WDR4,DCTPP1
Q6L8Q7,Q9H773,PDE12,DCTPP1
A0A024R7G8,Q9H773,RAD23A,DCTPP1
A0A024R9W5,O75489,HUWE1,NDUFS3
O75489,P00533,NDUFS3,EGFR
Q9NYK5,Q9P015,MRPL39,MRPL15
Q53S58,Q9P015,TMEM177,MRPL15
A0A024R6C9,Q9P015,DLST,MRPL15
Q14318,Q9P015,FKBP8,MRPL15
Q7KZN9,Q9P015,COX15,MRPL15
O95273,Q9P015,CCNDBP1,MRPL15
P61201,Q9UNS2,COPS2,COPS3
A0A024R2U9,Q6NYC1,APEH,JMJD6
P0CG48,Q8N4N3,UBC,KLHL36
P15531,P55809,NME1,OXCT1
P0CG48,Q96G21,UBC,IMP4
Q92608,Q9BYQ4,DOCK2,KRTAP9-2
O95273,Q92608,CCNDBP1,DOCK2
Q5VT66,Q9P015,MARCH1,MRPL15
Q03468,Q9UNS2,ERCC6,COPS3
P20963,Q92608,CD247,DOCK2
P35354,Q9UNS2,PTGS2,COPS3
A0A024QZU0,O43353,RIPK1,RIPK2
O43318,Q9C035,MAP3K7,TRIM5
O43318,O43353,MAP3K7,RIPK2
Q13595,Q5SSJ5,TRA2A,HP1BP3
P54274,Q92608,TERF1,DOCK2
P62195,Q9C035,PSMC5,TRIM5
A0A024RCY2,Q92608,MDFI,DOCK2
O75604,Q9C035,USP2,TRIM5
Q9C035,Q9Y4E8,TRIM5,USP15
O95837,Q6NYC1,GNA14,JMJD6
P23258,P62277,TUBG1,RPS13
Q9P2S5,Q9UNS2,WRAP73,COPS3
Q14938,Q6NYC1,NFIX,JMJD6
P61086,Q9C035,UBE2K,TRIM5
P43686,Q9C035,PSMC4,TRIM5
O43353,Q8N8M0,RIPK2,NAT16
